"","markov_cycle",".strategy_names","value_names","value","id"
"2.26",26,"I","cost",1042.87833416508,"2.26"
"2.27",27,"I","cost",999.684968703468,"2.27"
"2.28",28,"I","cost",957.638305886084,"2.28"
"2.29",29,"I","cost",916.837866875052,"2.29"
"2.30",30,"I","cost",877.172094788103,"2.30"
"2.31",31,"I","cost",838.593180803799,"2.31"
"2.32",32,"I","cost",801.107831297721,"2.32"
"2.33",33,"I","cost",764.701363010996,"2.33"
"2.34",34,"I","cost",729.501325679891,"2.34"
"2.35",35,"I","cost",695.093445810532,"2.35"
"2.36",36,"I","cost",661.43811795576,"2.36"
"2.37",37,"I","cost",628.45823120836,"2.37"
"2.38",38,"I","cost",596.196795478628,"2.38"
"2.39",39,"I","cost",564.615416663202,"2.39"
"2.40",40,"I","cost",533.351628656381,"2.40"
"2.41",41,"I","cost",502.685823917942,"2.41"
"2.42",42,"I","cost",472.480851336143,"2.42"
"2.43",43,"I","cost",442.980163928764,"2.43"
"2.44",44,"I","cost",414.040883925572,"2.44"
"2.45",45,"I","cost",385.712863590854,"2.45"
"2.46",46,"I","cost",357.863649432549,"2.46"
"2.47",47,"I","cost",330.43990370292,"2.47"
"2.48",48,"I","cost",303.181043171444,"2.48"
"2.49",49,"I","cost",276.538218002845,"2.49"
"2.50",50,"I","cost",250.229610027778,"2.50"
"2.51",51,"I","cost",224.603388572929,"2.51"
"2.52",52,"I","cost",199.670319097905,"2.52"
"2.53",53,"I","cost",175.542990075075,"2.53"
"2.54",54,"I","cost",152.620039626296,"2.54"
"2.55",55,"I","cost",130.899559387178,"2.55"
"2.56",56,"I","cost",110.627277632194,"2.56"
"2.57",57,"I","cost",91.9685353115557,"2.57"
"2.58",58,"I","cost",75.0658498127828,"2.58"
"2.59",59,"I","cost",60.2010925133071,"2.59"
"2.60",60,"I","cost",47.1274722991799,"2.60"
"2.61",61,"I","cost",35.9124514500895,"2.61"
"2.62",62,"I","cost",26.8080207056055,"2.62"
"2.63",63,"I","cost",19.4991591497598,"2.63"
"2.64",64,"I","cost",13.8782327419283,"2.64"
"2.65",65,"I","cost",9.5336718720844,"2.65"
"2.66",66,"I","cost",6.30987512892211,"2.66"
"2.67",1,"I","utility",879.227053140097,"2.67"
"2.68",2,"I","utility",848.729274041817,"2.68"
"2.69",3,"I","utility",819.308939052582,"2.69"
"2.70",4,"I","utility",790.863343948449,"2.70"
"2.71",5,"I","utility",763.309131411365,"2.71"
"2.72",6,"I","utility",736.669239852274,"2.72"
"2.73",7,"I","utility",710.876581931442,"2.73"
"2.74",8,"I","utility",685.937576270783,"2.74"
"2.75",9,"I","utility",661.79234618819,"2.75"
"2.76",10,"I","utility",638.445282161813,"2.76"
"2.77",11,"I","utility",575.213413450551,"2.77"
"2.78",12,"I","utility",554.735856006036,"2.78"
"2.79",13,"I","utility",534.929203363485,"2.79"
"2.80",14,"I","utility",515.748663093562,"2.80"
"2.81",15,"I","utility",497.190147849888,"2.81"
"2.82",16,"I","utility",479.186386544521,"2.82"
"2.83",17,"I","utility",461.723987962756,"2.83"
"2.84",18,"I","utility",444.811696228947,"2.84"
"2.85",19,"I","utility",428.420961331118,"2.85"
"2.86",20,"I","utility",412.509900038046,"2.86"
"2.87",21,"I","utility",373.700406484544,"2.87"
"2.88",22,"I","utility",359.568667238059,"2.88"
"2.89",23,"I","utility",345.842698373119,"2.89"
"2.90",24,"I","utility",332.472053096709,"2.90"
"2.91",25,"I","utility",319.48350276873,"2.91"
"2.92",26,"I","utility",306.82344087265,"2.92"
"2.93",27,"I","utility",294.468032074038,"2.93"
"2.94",28,"I","utility",282.449653883588,"2.94"
"2.95",29,"I","utility",270.735919046018,"2.95"
"2.96",30,"I","utility",259.313863878962,"2.96"
"2.97",31,"I","utility",241.981950530636,"2.97"
"2.98",32,"I","utility",231.402454878507,"2.98"
"2.99",33,"I","utility",221.149996171068,"2.99"
"2.100",34,"I","utility",211.100864023869,"2.100"
"2.101",35,"I","utility",201.244186293771,"2.101"
"2.102",36,"I","utility",191.557600705075,"2.102"
"2.103",37,"I","utility",182.055176194518,"2.103"
"2.104",38,"I","utility",172.726233383989,"2.104"
"2.105",39,"I","utility",163.460915683495,"2.105"
"2.106",40,"I","utility",154.345494742218,"2.106"
"2.107",41,"I","utility",136.021155018809,"2.107"
"2.108",42,"I","utility",127.764111046309,"2.108"
"2.109",43,"I","utility",119.639148481507,"2.109"
"2.110",44,"I","utility",111.661401600215,"2.110"
"2.111",45,"I","utility",103.793356707778,"2.111"
"2.112",46,"I","utility",96.0201504931066,"2.112"
"2.113",47,"I","utility",88.2666025508513,"2.113"
"2.114",48,"I","utility",80.6640708407439,"2.114"
"2.115",49,"I","utility",73.131186526884,"2.115"
"2.116",50,"I","utility",65.7699816629944,"2.116"
"2.117",51,"I","utility",58.5844961641507,"2.117"
"2.118",52,"I","utility",51.6086471859036,"2.118"
"2.119",53,"I","utility",44.9606540457221,"2.119"
"2.120",54,"I","utility",38.6417201495712,"2.120"
"2.121",55,"I","utility",32.7261164417709,"2.121"
"2.122",56,"I","utility",27.2649427842918,"2.122"
"2.123",57,"I","utility",22.3029648887825,"2.123"
"2.124",58,"I","utility",17.9267254870216,"2.124"
"2.125",59,"I","utility",14.0662110844636,"2.125"
"2.126",60,"I","utility",10.7445757612129,"2.126"
"2.127",61,"I","utility",8.04041299402695,"2.127"
"2.128",62,"I","utility",5.8631968609055,"2.128"
"2.129",63,"I","utility",4.18397688890769,"2.129"
"2.130",64,"I","utility",2.88206226774412,"2.130"
"2.131",65,"I","utility",1.91297875031959,"2.131"
"2.132",66,"I","utility",1.23028855355342,"2.132"
"3.1",1,"I","cost",0,"3.1"
"3.2",2,"I","cost",2577.4188298131,"3.2"
"3.3",3,"I","cost",2483.7006897135,"3.3"
